,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
0,2,2,2,2,4,5,0,0,0,0
1,2,2,2,2,2,4,0,0,0,0
2,2,2,2,2,3,5,0,0,0,0
3,2,2,2,2,3,4,0,0,0,0
4,2,2,2,2,2,4,0,0,0,0
5,2,2,2,2,4,4,0,0,0,0
6,2,2,2,2,1,5,0,0,0,0
7,2,2,2,2,3,3,0,0,0,0
8,2,2,2,2,2,4,0,0,0,0
9,2,2,2,2,4,4,0,0,0,0
10,2,2,2,2,2,5,0,0,0,0
11,2,2,2,2,3,4,0,0,0,0
12,2,2,2,2,3,4,0,0,0,0
13,1,2,2,2,2,5,0,0,0,0
14,2,2,2,2,4,4,0,0,0,0
15,2,2,2,2,2,4,0,0,0,0
16,2,2,2,2,3,5,0,0,0,0
17,2,2,2,2,2,4,0,0,0,0
18,2,2,2,2,4,4,0,0,0,0
19,2,2,2,2,1,5,0,0,0,0
20,2,2,2,2,3,4,0,0,0,0
21,2,2,2,2,3,5,0,0,0,0
22,2,2,2,2,2,5,0,0,0,0
23,2,2,2,2,4,4,0,0,0,0
24,2,2,2,2,2,3,0,0,0,0
25,2,2,2,2,3,4,0,0,0,0
26,2,2,2,2,3,5,0,0,0,0
27,2,2,2,2,4,4,0,0,0,0
28,2,2,2,2,2,4,0,0,0,0
29,2,2,2,2,3,5,0,0,0,0
30,2,2,2,2,3,5,0,0,0,0
31,2,2,2,2,2,4,0,0,0,0
32,2,2,2,2,4,5,0,0,0,0
33,2,2,2,2,2,5,0,0,0,0
34,2,2,2,2,3,4,0,0,0,0
35,2,2,2,2,3,5,0,0,0,0
36,1,2,2,2,2,4,0,0,0,0
37,2,2,2,2,2,3,0,0,0,0
38,2,2,2,2,3,4,0,0,0,0
39,2,2,2,2,3,4,0,0,0,0
40,2,2,2,2,1,4,0,0,0,0
41,2,2,2,2,4,5,0,0,0,0
42,2,2,2,2,2,4,0,0,0,0
43,2,2,2,2,3,5,0,0,0,0
44,2,2,2,2,3,5,0,0,0,0
45,2,2,2,2,2,4,0,0,0,0
46,2,2,2,2,4,5,0,0,0,0
47,2,2,2,2,3,4,0,0,0,0
48,2,2,2,2,3,5,0,0,0,0
49,2,2,2,2,2,4,0,0,0,0
50,2,2,2,2,4,5,0,0,0,0
51,2,2,2,2,1,5,0,0,0,0
52,2,2,2,2,3,4,0,0,0,0
53,2,2,2,2,3,4,0,0,0,0
54,2,2,2,2,2,5,0,0,0,0
55,2,2,2,2,4,5,0,0,0,0
56,2,2,2,2,2,4,0,0,0,0
57,2,2,2,2,3,4,0,0,0,0
58,2,2,2,2,1,4,0,0,0,0
59,2,2,2,2,4,5,0,0,0,0
60,2,2,2,2,2,4,0,0,0,0
61,2,2,2,2,3,3,0,0,0,0
62,2,2,2,2,3,4,0,0,0,0
63,2,2,2,2,2,4,0,0,0,0
64,2,2,2,2,4,4,0,0,0,0
65,2,2,2,2,2,4,0,0,0,0
66,2,2,2,2,3,3,0,0,0,0
67,2,2,2,2,2,4,0,0,0,0
68,2,2,2,2,4,4,0,0,0,0
69,1,2,2,2,2,5,0,0,0,0
70,2,2,2,2,3,4,0,0,0,0
71,2,2,2,2,3,4,0,0,0,0
72,2,2,2,2,2,4,0,0,0,0
73,2,2,2,2,4,4,0,0,0,0
74,2,2,2,2,2,4,0,0,0,0
75,2,2,2,2,3,4,0,0,0,0
76,2,2,2,2,3,4,0,0,0,0
77,2,2,2,2,2,4,0,0,0,0
78,2,2,2,2,2,5,0,0,0,0
79,1,2,2,2,3,4,0,0,0,0
80,2,2,2,2,3,5,0,0,0,0
81,2,2,2,2,2,4,0,0,0,0
82,2,2,2,2,4,4,0,0,0,0
83,2,2,2,2,2,4,0,0,0,0
84,2,2,2,2,3,4,0,0,0,0
85,2,2,2,2,3,5,0,0,0,0
86,2,2,2,2,2,4,0,0,0,0
87,2,2,2,2,4,4,0,0,0,0
88,2,2,2,2,3,5,0,0,0,0
89,2,2,2,2,3,5,0,0,0,0
90,2,2,2,2,2,4,0,0,0,0
91,2,2,2,2,4,5,0,0,0,0
92,2,2,2,2,2,5,0,0,0,0
93,2,2,2,2,3,4,0,0,0,0
94,2,2,2,2,3,4,0,0,0,0
95,2,2,2,2,1,5,0,0,0,0
96,2,2,2,2,4,4,0,0,0,0
97,2,2,2,2,2,4,0,0,0,0
98,2,2,2,2,3,4,0,0,0,0
99,2,2,2,2,2,4,0,0,0,0
100,2,2,2,2,4,4,0,0,0,0
101,2,2,2,2,2,4,0,0,0,0
102,2,2,2,2,3,4,0,0,0,0
103,2,2,2,2,3,4,0,0,0,0
104,2,2,2,2,1,5,0,0,0,0
105,2,2,2,2,4,5,0,0,0,0
106,2,2,2,2,2,4,0,0,0,0
107,2,2,2,2,3,4,0,0,0,0
108,2,2,2,2,2,4,0,0,0,0
109,2,2,2,2,4,5,0,0,0,0
110,2,2,2,2,2,5,0,0,0,0
111,2,2,2,2,3,4,0,0,0,0
112,2,2,2,2,3,4,0,0,0,0
113,2,2,2,2,2,4,0,0,0,0
114,2,2,2,2,4,4,0,0,0,0
115,2,2,2,2,2,5,0,0,0,0
116,2,2,2,2,3,5,0,0,0,0
117,2,2,2,2,3,5,0,0,0,0
118,2,2,2,2,4,4,0,0,0,0
119,2,2,2,2,2,3,0,0,0,0
120,2,2,2,2,3,3,0,0,0,0
121,2,2,2,2,3,4,0,0,0,0
122,2,2,2,2,2,4,0,0,0,0
123,1,2,2,2,4,5,0,0,0,0
124,2,2,2,2,2,4,0,0,0,0
125,2,2,2,2,3,4,0,0,0,0
126,2,2,2,2,3,5,0,0,0,0
127,2,2,2,2,1,5,0,0,0,0
128,2,2,2,2,2,4,0,0,0,0
129,2,2,2,2,3,4,0,0,0,0
130,2,2,2,2,3,4,0,0,0,0
131,1,2,2,2,2,3,0,0,0,0
132,2,2,2,2,4,4,0,0,0,0
133,2,2,2,2,2,5,0,0,0,0
134,2,2,2,2,3,5,0,0,0,0
135,2,2,2,2,3,4,0,0,0,0
136,2,2,2,2,2,5,0,0,0,0
137,2,2,2,2,4,4,0,0,0,0
138,2,2,2,2,3,4,0,0,0,0
139,2,2,2,2,3,4,0,0,0,0
140,1,2,2,2,1,5,0,0,0,0
141,2,2,2,2,4,5,0,0,0,0
142,2,2,2,2,2,5,0,0,0,0
143,2,2,2,2,3,5,0,0,0,0
144,2,2,2,2,3,5,0,0,0,0
145,2,2,2,2,1,5,0,0,0,0
146,2,2,2,2,4,5,0,0,0,0
147,2,2,2,2,2,5,0,0,0,0
148,2,2,2,2,3,4,0,0,0,0
149,2,2,2,2,2,5,0,0,0,0
150,2,2,2,2,4,4,0,0,0,0
151,2,2,2,2,2,4,0,0,0,0
152,2,2,2,2,3,4,0,0,0,0
153,2,2,2,2,3,5,0,0,0,0
154,2,2,2,2,1,4,0,0,0,0
155,2,2,2,2,4,5,0,0,0,0
156,2,2,2,2,2,4,0,0,0,0
157,2,2,2,2,3,5,0,0,0,0
158,2,2,2,2,3,5,0,0,0,0
159,2,2,2,2,4,5,0,0,0,0
160,2,2,2,2,2,4,0,0,0,0
161,2,2,2,2,3,5,0,0,0,0
162,2,2,2,2,3,5,0,0,0,0
163,2,2,2,2,1,5,0,0,0,0
164,2,2,2,2,4,5,0,0,0,0
165,2,2,2,2,2,5,0,0,0,0
166,2,2,2,2,3,5,0,0,0,0
167,2,2,2,2,3,5,0,0,0,0
168,2,2,2,2,2,4,0,0,0,0
169,2,2,2,2,2,4,0,0,0,0
170,2,2,2,2,3,4,0,0,0,0
171,2,2,2,2,3,3,0,0,0,0
172,2,2,2,2,1,5,0,0,0,0
173,2,2,2,2,4,4,0,0,0,0
174,1,2,2,2,1,5,0,0,0,0
175,2,2,2,2,3,3,0,0,0,0
176,2,2,2,2,3,4,0,0,0,0
177,2,2,2,2,2,4,0,0,0,0
178,2,2,2,2,4,4,0,0,0,0
179,2,2,2,2,3,4,0,0,0,0
180,2,2,2,2,3,4,0,0,0,0
181,2,2,2,2,1,5,0,0,0,0
182,2,2,2,2,4,4,0,0,0,0
183,2,2,2,2,2,4,0,0,0,0
184,2,2,2,2,3,4,0,0,0,0
185,2,2,2,2,3,5,0,0,0,0
186,2,2,2,2,2,4,0,0,0,0
187,2,2,2,2,4,4,0,0,0,0
188,2,2,2,2,2,4,0,0,0,0
189,2,2,2,2,3,5,0,0,0,0
190,2,2,2,2,2,4,0,0,0,0
191,2,2,2,2,3,5,0,0,0,0
192,2,2,2,2,2,5,0,0,0,0
193,2,2,2,2,3,5,0,0,0,0
194,2,2,2,2,3,4,0,0,0,0
195,2,2,2,2,1,5,0,0,0,0
196,2,2,2,2,4,4,0,0,0,0
197,2,2,2,2,2,5,0,0,0,0
198,2,2,2,2,3,5,0,0,0,0
199,2,2,2,2,1,4,0,0,0,0
200,2,2,2,2,4,5,0,0,0,0
201,2,2,2,2,2,4,0,0,0,0
202,2,2,2,2,3,4,0,0,0,0
203,2,2,2,2,3,5,0,0,0,0
204,2,2,2,2,1,5,0,0,0,0
205,2,2,2,2,4,5,0,0,0,0
206,2,2,2,2,2,5,0,0,0,0
207,1,2,2,2,3,5,0,0,0,0
208,1,2,2,2,3,5,0,0,0,0
209,2,2,2,2,2,5,0,0,0,0
210,2,2,2,2,2,5,0,0,0,0
211,2,2,2,2,3,5,0,0,0,0
212,2,2,2,2,3,5,0,0,0,0
213,2,2,2,2,2,5,0,0,0,0
214,2,2,2,2,4,5,0,0,0,0
215,2,2,2,2,2,4,0,0,0,0
216,2,2,2,2,2,5,0,0,0,0
217,2,2,2,2,3,5,0,0,0,0
218,2,2,2,2,2,4,0,0,0,0
219,2,2,2,2,4,4,0,0,0,0
220,2,2,2,2,3,4,0,0,0,0
221,2,2,2,2,3,5,0,0,0,0
222,2,2,2,2,2,4,0,0,0,0
223,2,2,2,2,3,4,0,0,0,0
224,2,2,2,2,2,4,0,0,0,0
225,2,2,2,2,3,4,0,0,0,0
226,2,2,2,2,3,4,0,0,0,0
227,2,2,2,2,2,5,0,0,0,0
228,2,2,2,2,4,4,0,0,0,0
229,2,2,2,2,2,5,0,0,0,0
